name,id,parentId,size
SOCAR,1,,
Downstream,2,1,
Ekologiya,3,1,
Fuel Retail,4,1,
Gas distribution,5,1,
Midstream,6,1,
Services,7,1,
Trading,8,1,
Upstream,9,1,
Struktur vahidi,10,2,
Subsidiary,11,2,
Subsidiary,12,3,
Subsidiary,13,4,
Struktur vahidi,14,5,
Struktur vahidi,15,6,
Subsidiary,16,6,
Joint Venture ,17,7,
Struktur vahidi,18,7,
Subsidiary,19,8,
Sub-sub,20,8,
Struktur vahidi,21,9,
Subsidiary,22,9,
Azərikimya İB,23,10,
SOCAR Downstream Management LLC,24,11,
STAR Rafinery AŞ,25,11,
SOCAR Waste Management,26,12,
SOCAR  Georgia Petroleum LLC,27,13,
SOCAR Petroleum CSJC,28,13,
Azəriqaz İB,29,14,
Neft Kəmərləri İdarəsi,30,15,
SOCAR Midstream Operations LLC,31,16,
Azfen BM,32,17,
Neftqaztikinti Tresti,33,18,
SOCAR Overseas LTD,34,19,
SOCAR Trading SA,35,20,
Azneft IB,36,21,
SOCAR Upstream Management İnternational LLC,37,22,
